ID,COMMUNITY ,ELEVATION,ELEVATION<1100,ELEVATION>=1100,PROVINCE,ECOREGION1,vigna_unguiculata,vigna_juncea,eleusine_coracana_subsp.africana ,NONGMA,GMA,CWRRICHNESS,DISTANCEHOTSPOT,HA,FARMERS,DISTANCECOMMUNITY,WILD,EARLYBURN,FENCED,SCRUBCLEAR,NOBURN,GRAZING,FIREBREAK,FLAT,HILLY,NEARWATER,FARWATER,GRAZED,NOTGRAZED,FARM?,KWACHA,USD,USDHA,,
1,Khuzana ,1237,0,1,Eastern,1,0,1,0,1,0,2,93.4,1.25,30,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,15000.0,1375.5,1100.4,,
2,Mutenguleni,994,1,0,Eastern,1,0,0,0,1,0,2,67.6,0.50,300,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,500.0,45.9,91.7,,
3,Chawa,970,1,0,Eastern,1,1,1,0,1,0,2,58.9,1.00,75,0.01,0,0,1,0,0,0,1,0,1,0,1,1,0,0,6000.0,550.2,550.2,,
4,Chiparamba,990,1,0,Eastern,1,1,0,0,1,0,2,59.0,1.00,150,2,1,0,0,0,1,0,1,1,0,0,1,1,0,0,18000.0,1650.6,1650.6,,
5,Kaphinde,1152,0,1,Eastern,1,0,0,0,1,0,0,93.8,1.96,4,0.5,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4000.0,366.8,187.1,,
6,Sisinje ,847,1,0,Eastern,1,1,0,0,1,0,1,44.5,1.00,500,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,5000.0,458.5,458.5,,
7,Sairi ,1103,0,1,Eastern,1,0,0,0,1,0,0,82.4,1.25,15,0.2,1,0,0,1,0,0,0,1,0,1,0,1,0,0,15000.0,1375.5,1100.4,,
19,Luchembe ,1381,0,1,Muchinga,0,0,0,1,1,0,1,126.9,5.00,30,3,1,1,0,0,0,0,0,1,0,0,1,0,1,1,20000.0,1834.0,366.8,,
20,Kopa,1217,0,1,Muchinga,0,0,0,0,1,0,0,157.7,10.00,50,3,1,0,0,1,0,0,0,1,0,1,0,0,1,1,50000.0,4585.0,458.5,,
21,Chilouga ,1429,0,1,Muchinga,0,0,0,0,1,0,1,102.0,5.00,20,4,1,1,0,0,0,0,0,1,0,1,0,0,1,1,5000.0,458.5,91.7,,
22,Kabulamwiko,1358,0,1,Muchinga,0,0,0,1,1,0,1,195.6,10.00,50,5,0,1,0,0,0,0,0,1,0,0,1,0,1,1,50000.0,4585.0,458.5,,
23,Chobela,1174,0,1,Muchinga,0,0,0,0,1,0,0,125.7,20.00,13,3,1,1,0,0,0,1,0,1,0,1,0,1,0,1,10000.0,917.0,45.9,,
24,Chilyaba ,1305,0,1,Muchinga,0,0,0,0,1,0,0,131.5,2.50,20,5,0,0,0,1,0,1,0,0,1,1,0,0,1,1,30000.0,2751.0,1100.4,,
25,Clukakala,1350,0,1,Muchinga,0,0,0,1,1,0,1,170.5,15.00,15,1.5,1,0,0,1,0,0,0,1,0,0,1,0,1,1,10000.0,917.0,61.1,,
26,Salamo ,1514,0,1,Muchinga,0,0,0,0,1,0,0,83.3,10.00,50,3,1,0,0,0,1,0,0,1,0,1,0,0,1,1,35000.0,3209.5,321.0,,
8,Chasefu ,1082,1,0,Eastern,1,0,0,1,0,1,1,159.0,15.00,15,3,0,0,0,0,1,1,0,1,0,0,1,0,1,1,35000.0,3209.5,214.0,,
9,Chikomeni ,1104,0,1,Eastern,1,0,0,1,0,1,2,92.8,16.66,30,2,1,0,0,0,1,1,0,1,0,1,0,1,0,1,70000.0,6419.0,385.3,,
10,Mwasempangwe,1102,0,1,Eastern,1,0,0,0,0,1,2,89.3,1.96,8,0.6,0,1,0,1,0,0,0,1,0,0,1,1,0,1,20000.0,1834.0,935.7,,
11,Chitala ,999,1,0,Eastern,1,0,0,0,0,1,0,124.2,2.45,21,0.5,1,0,0,0,0,1,0,0,1,0,1,1,0,1,20000.0,1834.0,748.6,,
12,Kapongolo ,987,1,0,Eastern,1,0,0,0,0,1,1,105.6,19.60,50,3,0,0,0,0,0,1,0,0,1,1,0,1,0,1,80000.0,7336.0,374.3,,
13,Muyukwa,1071,1,0,Eastern,1,0,0,1,0,1,1,148.0,60.00,30,8,1,1,0,0,0,1,0,1,0,1,0,0,1,1,35000.0,3209.5,53.5,,
14,Musonko,1401,0,1,Muchinga,0,0,0,0,0,1,0,176.3,0.25,14,4.5,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1500.0,137.6,550.2,,
15,Mukwikile ,1382,0,1,Muchinga,0,0,0,0,0,1,1,163.6,0.25,22,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,3000.0,275.1,1100.4,,
16,Mulanga ,1262,0,1,Muchinga,0,0,0,1,0,1,1,207.5,3.00,50,4,1,0,0,1,0,0,0,1,0,1,0,0,1,1,4000.0,366.8,122.3,,
17,Kalikiti ,1250,0,1,Muchinga,0,0,0,1,0,1,1,207.5,10.00,581,0.8,1,0,0,1,0,0,0,1,0,1,0,0,1,1,58100.0,5327.8,532.8,,
18,Chambola,1225,0,1,Muchinga,0,0,0,1,0,1,1,202.9,5.00,40,3,1,0,1,0,0,1,0,1,0,0,1,1,0,1,25000.0,2292.5,458.5,,
