ID,Latitude ,Longitude ,AMO,Province,GMA,Community ,Male ,Female ,Area,No_Farmers ,No_Plots ,Bid ,Cost_ha,Cost_ha_usd,Number,AMO_2,Bid_2
1,-13.741293,32.73903,A,Eastern,no,Khuzana ,9,8,14.46,17,28,25000,1730,159,a,A,400
2,-13.74634,32.45994,A,Eastern,no,Mutenguleni,15,3,9,18,36,3600,400,37,b,A,442
3,-13.58569,32.47157,A,Eastern,no,Chawa,3,0,1,3,3,2500,2500,229,c,A,600
4,-13.57098,32.47932,A,Eastern,no,Chiparamba,12,8,6.5,20,35,22400,3446,316,d,A,604
5,-13.91861,32.61876,A,Eastern,no,Kaphinde,7,5,7.11,12,14.5,20400,2871,263,e,A,629
6,-13.4412,32.40183,A,Eastern,no,Sisinje ,9,11,32.34,20,51,20350,629,58,f,A,642
7,-13.89517,32.49898,A,Eastern,no,Sairi ,8,5,9.8,13,20,14200,1449,133,g,A,798
19,-11.816444,31.263333,A,Muchinga,no,Luchembe ,11,5,56,16,41,55170,985,90,h,A,985
20,-11.772528,30.827556,A,Muchinga,no,Kopa,3,7,8,10,32,39503,4938,453,i,A,"1,033"
21,-12.026389,31.336472,A,Muchinga,no,Chilouga ,6,3,20.5,9,18,16350,798,73,j,A,"1,220"
22,-11.164694,31.275194,A,Muchinga,no,Kabulamwiko,6,6,70,12,22,42000,600,55,k,A,"1,449"
23,-11.716278,31.815667,A,Muchinga,no,Chobela,8,3,20,11,36,12830,642,59,l,A,"1,622"
24,-11.667917,31.869111,A,Muchinga,no,Chilyaba ,5,3,4.25,8,8,10200,2400,220,m,A,"1,730"
25,-11.411194,31.235083,A,Muchinga,no,Clukakala,10,6,31.75,16,72,32800,1033,95,n,A,"1,862"
26,-12.461361,31.070028,A,Muchinga,no,Salamo ,10,5,28.4,15,50,17150,604,55,o,A,"2,044"
8,-11.922167,33.013583,A,Eastern,yes,Chasefu ,17,9,31,26,41,13710,442,41,p,A,"2,400"
9,-12.714806,32.847556,A,Eastern,yes,Chikomeni ,13,17,12.74,30,n/a,45500,3571,327,q,A,"2,500"
10,-12.835333,32.857028,A,Eastern,yes,Mwasempangwe,9,1,6,10,13,43000,7167,657,r,A,"2,871"
11,-12.246444,32.876833,A,Eastern,yes,Chitala ,17,4,10.78,21,21,113000,10482,961,s,A,"2,909"
12,-12.469111,32.833139,A,Eastern,yes,Kapongolo ,13,5,13.72,18,28,143000,10423,956,t,A,"3,446"
13,-12.033917,32.98075,A,Eastern,yes,Muyukwa,27,4,188,31,84.5,350000,1862,171,u,A,"3,571"
14,-11.27225,31.906833,A,Muchinga,yes,Musonko,9,5,4,14,14,14550,3638,334,v,A,"3,638"
15,-11.382722,31.873806,A,Muchinga,yes,Mukwikile ,18,1,8.75,19,20,25450,2909,267,w,A,"4,938"
16,-10.993833,32.136778,A,Muchinga,yes,Mulanga ,7,2,4.5,9,18,7300,1622,149,z,A,"7,167"
17,-11.03975,32.217278,A,Muchinga,yes,Kalikiti ,25,5,11,30,54,22480,2044,187,y,A,"10,423"
18,-10.932667,32.248944,A,Muchinga,yes,Chambola,15,4,14.75,19,60,18000,1220,112,z,A,"10,482"
1,-13.741293,32.73903,B,Eastern,no,Khuzana ,8,6,12.74,14,26,12600,989,91,a,B,590
2,-13.74634,32.45994,B,Eastern,no,Mutenguleni,15,3,4.5,18,18,10800,2400,220,b,B,773
3,-13.58569,32.47157,B,Eastern,no,Chawa,8,7,5.38,15,15,19100,3553,326,c,B,989
4,-13.57098,32.47932,B,Eastern,no,Chiparamba,12,8,7.38,20,49,34825,4722,433,d,B,"1,285"
5,-13.91861,32.61876,B,Eastern,no,Kaphinde,8,3,5.64,11,11,27300,4845,444,e,B,"1,289"
6,-13.4412,32.40183,B,Eastern,no,Sisinje ,9,11,22.54,20,48,29050,1289,118,f,B,"1,312"
7,-13.89517,32.49898,B,Eastern,no,Sairi ,8,5,7.35,13,15,24200,3293,302,g,B,"1,526"
19,-11.816444,31.263333,B,Muchinga,no,Luchembe ,11,5,54,16,38,41750,773,71,h,B,"1,688"
20,-11.772528,30.827556,B,Muchinga,no,Kopa,3,7,8,10,32,58000,7250,665,i,B,"1,933"
21,-12.026389,31.336472,B,Muchinga,no,Chilouga ,6,1,7.5,7,8,14500,1933,177,j,B,"2,213"
22,-11.164694,31.275194,B,Muchinga,no,Kabulamwiko,6,6,38,12,20.5,58000,1526,140,k,B,"2,400"
23,-11.716278,31.815667,B,Muchinga,no,Chobela,8,3,15,11,26,19675,1312,120,l,B,"2,713"
