ID,CommunityID,Bidoffer ,RichnessIndex,Proportion,AveSizePlot,Area,Plots,YoungFarmer,OldFarmer,Age,Male ,Female ,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Elevation,TransactionCost,Ecoregion1,Ecoregion2,Community ,nonGMA,GMA ,SmallFarms,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar ,SolanumIncanum,EleusineIndica ,Cucumis Zeyheri,OryzaLongistaminata,Richness
1,C1,183.4,5,2.8,0.5,1,2,0,1,36,1,0,187.14,91.7,0.49,1,0,2,1237,45.9,1,0,1,1,0,0,35.28,0,1,1,0,0,0,0,0,0,2
2,C1,137.6,5,60.0,0.7,1.5,2,0,1,39,0,1,93.57,68.78,0.74,1,0,2,1237,34.4,1,0,1,1,0,0,2.45,0,1,1,0,0,0,0,0,0,2
3,C1,18.3,5,50.0,0.7,0.7,1,0,1,64,0,1,24.78,18.34,0,1,0,2,1237,4.6,1,0,1,1,0,1,1.47,0,1,1,0,0,0,0,0,0,2
4,C1,91.7,5,50.0,0.5,0.5,1,0,1,50,0,1,187.14,91.7,0.49,1,0,2,1237,22.9,1,0,1,1,0,1,0.98,0,1,1,0,0,0,0,0,0,2
5,C1,91.7,5,50.0,0.5,0.3,0.5,1,0,27,0,1,366.8,183.4,0,1,0,2,1237,22.9,1,0,1,1,0,1,0.49,0,1,1,0,0,0,0,0,0,2
6,C1,91.7,5,16.7,0.5,0.3,0.5,0,1,36,0,1,366.8,183.4,0.5,1,0,2,1237,22.9,1,0,1,1,0,1,1.47,0,1,1,0,0,0,0,0,0,2
7,C1,91.7,5,33.3,0.5,0.5,1,1,0,25,0,1,187.14,91.7,0.49,1,0,2,1237,22.9,1,0,1,1,0,1,1.47,0,1,1,0,0,0,0,0,0,2
8,C1,275.1,5,30.0,0.5,1.5,3,0,1,57,1,0,187.14,91.7,0.49,1,0,2,1237,68.8,1,0,1,1,0,0,4.9,0,1,1,0,0,0,0,0,0,2
9,C1,183.4,5,13.3,0.5,1,2,0,1,55,1,0,187.14,91.7,0.49,1,0,2,1237,45.9,1,0,1,1,0,0,7.35,0,1,1,0,0,0,0,0,0,2
10,C1,137.6,5,12.5,0.5,1,2,0,1,38,1,0,140.36,68.78,0.49,1,0,2,1237,34.4,1,0,1,1,0,0,7.84,0,1,1,0,0,0,0,0,0,2
11,C1,165.1,5,15.0,0.5,1.5,3,1,0,32,1,0,112.29,55.02,0.49,1,0,2,1237,41.3,1,0,1,1,0,0,9.8,0,1,1,0,0,0,0,0,0,2
12,C1,183.4,5,33.3,0.5,1,2,0,1,40,1,0,187.14,91.7,0.49,1,0,2,1237,45.9,1,0,1,1,0,0,2.94,0,1,1,0,0,0,0,0,0,2
13,C1,137.6,5,16.7,0.5,1,2,0,1,53,0,1,140.36,68.78,0.49,1,0,2,1237,34.4,1,0,1,1,0,0,5.88,0,1,1,0,0,0,0,0,0,2
14,C1,91.7,5,16.7,0.5,0.5,1,1,0,30,0,1,187.14,91.7,0.49,1,0,2,1237,22.9,1,0,1,1,0,0,2.94,0,1,1,0,0,0,0,0,0,2
15,C1,183.4,5,25.0,0.5,1,2,0,1,40,1,0,187.14,91.7,0.49,1,0,2,1237,45.9,1,0,1,1,0,0,3.92,0,1,1,0,0,0,0,0,0,2
16,C1,91.7,5,28.6,0.5,1,2,1,0,28,1,0,93.57,45.85,0.49,1,0,2,1237,22.9,1,0,1,1,0,0,3.43,0,1,1,0,0,0,0,0,0,2
17,C1,137.6,5,12.5,0.5,0.5,1,0,1,36,1,0,280.71,137.55,0,1,0,2,1237,34.4,1,0,1,1,0,0,3.92,0,1,1,0,0,0,0,0,0,2
18,C1,18.3,6,25.0,0.3,0.5,2,0,1,50,1,0,36.68,9.17,0.25,1,0,2,1237,4.6,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0
19,C2,18.3,6,16.7,0.3,0.5,2,0,1,42,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0
20,C2,18.3,6,3.6,0.3,0.5,2,0,1,67,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,0,13.75,0,0,0,0,0,0,0,0,0,0
21,C2,18.3,6,25.0,0.3,0.5,2,0,1,59,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0
22,C2,18.3,6,25.0,0.3,0.5,2,0,1,39,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0
23,C2,18.3,6,18.2,0.3,0.5,2,0,1,46,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,0,2.75,0,0,0,0,0,0,0,0,0,0
24,C2,18.3,6,33.3,0.3,0.5,2,0,1,39,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0
25,C2,18.3,6,33.3,0.3,0.5,2,0,1,44,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0
26,C2,18.3,6,33.3,0.3,0.5,2,0,1,42,0,1,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0
