Objective,ID,CommunityID,Bidoffer ,Area,Plots,YoungFarmer,OldFarmer,Age,Male ,Female ,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Distancefromhotspot,Elevation,TransactionCost,Ecoregion,Ecoregion1,Ecoregion2,Community ,nonGMA,GMA ,SmallFarms,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar ,SolanumIncanum,EleusineIndica ,PennisetumPurpureum2,EchinochloaColona,OryzaLongistaminata,Richness,DecisionCells
Basic,3,C1,18.3,0.7,1,0.0,1.0,64,0,1,24.78,18.34,0.00,1.00,0.00,2.0,93.4,1237,4.6,1.0,1,0,1,1,0,1,1.47,0,1,1,0,0,0,0,0,0,0,2,1
Basic,4,C1,91.7,0.5,1,0.0,1.0,50,0,1,187.14,91.70,0.49,1.00,0.00,2.0,93.4,1237,22.9,1.0,1,0,1,1,0,1,0.98,0,1,1,0,0,0,0,0,0,0,2,1
Basic,5,C1,91.7,0.3,0.5,1.0,0.0,27,0,1,366.80,183.40,0.00,1.00,0.00,2.0,93.4,1237,22.9,1.0,1,0,1,1,0,1,0.49,0,1,1,0,0,0,0,0,0,0,2,1
Basic,6,C1,91.7,0.3,0.5,0.0,1.0,36,0,1,366.80,183.40,0.50,1.00,0.00,2.0,93.4,1237,22.9,1.0,1,0,1,1,0,1,1.47,0,1,1,0,0,0,0,0,0,0,2,1
Basic,16,C1,91.7,1.0,2,1.0,0.0,28,1,0,93.57,45.85,0.49,1.00,0.00,2.0,93.4,1237,22.9,1.0,1,0,1,1,0,0,3.43,0,1,1,0,0,0,0,0,0,0,2,1
Basic,37,C3,137.6,0.5,1,0.0,1.0,44,1,0,275.10,137.55,0.50,1.00,0.00,2.0,58.9,970,34.4,1.0,1,0,3,1,0,0,2.25,1,1,1,0,0,0,0,0,0,0,3,1
Basic,41,C3,45.9,0.3,1,0.0,1.0,45,1,0,183.40,45.85,0.25,1.00,0.00,2.0,58.9,970,11.5,1.0,1,0,3,1,0,0,2.5,1,1,1,0,0,0,0,0,0,0,3,1
Basic,48,C3,45.9,0.3,1,0.0,1.0,57,1,0,183.40,45.85,0.25,1.00,0.00,2.0,58.9,970,11.5,1.0,1,0,3,1,0,1,1.5,1,1,1,0,0,0,0,0,0,0,3,1
Basic,64,C4,82.5,0.3,1,0.0,1.0,39,1,0,330.12,82.53,0.25,1.00,0.00,2.0,59.0,990,20.6,1.0,1,0,4,1,0,1,1.25,1,0,0,0,0,0,0,0,0,0,1,1
Basic,65,C4,55.0,0.3,1,1.0,0.0,30,0,1,220.08,55.02,0.25,1.00,0.00,2.0,59.0,990,13.8,1.0,1,0,4,1,0,1,1.75,1,0,0,0,0,0,0,0,0,0,1,1
Basic,66,C4,45.9,0.1,1,1.0,0.0,24,0,1,366.80,45.85,0.13,1.00,0.00,2.0,59.0,990,11.5,1.0,1,0,4,1,0,0,2.25,1,0,0,0,0,0,0,0,0,0,1,1
Basic,68,C4,45.9,0.1,1,0.0,1.0,39,0,1,366.80,45.85,0.13,1.00,0.00,2.0,59.0,990,11.5,1.0,1,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1
Basic,69,C4,64.2,0.1,1,0.0,1.0,43,1,0,513.52,64.19,0.13,1.00,0.00,2.0,59.0,990,16.0,1.0,1,0,4,1,0,1,1.75,1,0,0,0,0,0,0,0,0,0,1,1
Basic,100,C6,45.9,3.9,2,0.0,1.0,39,0,1,11.70,22.93,1.96,0.00,1.00,1.0,44.5,847,11.5,1.0,1,0,6,1,0,0,7.84,1,0,0,0,1,1,1,0,0,0,4,1
Basic,101,C6,45.9,0.5,2,1.0,0.0,23,1,0,93.57,22.93,0.25,1.00,0.00,1.0,44.5,847,11.5,1.0,1,0,6,1,0,1,1.96,1,0,0,0,1,1,1,0,0,0,4,1
Basic,104,C6,45.9,1.5,3,1.0,0.0,32,1,0,31.19,15.28,0.49,1.00,0.00,1.0,44.5,847,11.5,1.0,1,0,6,1,0,0,4.9,1,0,0,0,1,1,1,0,0,0,4,1
Basic,106,C6,55.0,2.0,2,1.0,0.0,25,1,0,28.07,27.51,0.98,0.00,1.00,1.0,44.5,847,13.8,1.0,1,0,6,1,0,0,3.92,1,0,0,0,1,1,1,0,0,0,4,1
Basic,109,C6,45.9,0.5,2,1.0,0.0,26,0,1,93.57,22.93,0.25,1.00,0.00,1.0,44.5,847,11.5,1.0,1,0,6,1,0,0,2.45,1,0,0,0,1,1,1,0,0,0,4,1
Basic,192,C11,91.7,1.0,1,0.0,1.0,54,1,0,93.57,91.70,0.98,0.00,1.00,0.0,124.2,999,22.9,1.0,1,0,11,0,1,0,4.9,0,0,0,0,0,1,0,0,0,0,1,1
Basic,193,C11,412.7,0.5,1,0.0,1.0,43,1,0,842.14,412.65,0.49,1.00,0.00,0.0,124.2,999,103.2,1.0,1,0,11,0,1,0,5.88,0,0,0,0,0,1,0,0,0,0,1,1
Basic,194,C11,412.7,0.5,1,1.0,0.0,32,1,0,842.14,412.65,0.49,1.00,0.00,0.0,124.2,999,103.2,1.0,1,0,11,0,1,0,2.45,0,0,0,0,0,1,0,0,0,0,1,1
Basic,196,C11,366.8,0.5,1,0.0,1.0,43,1,0,748.57,366.80,0.49,1.00,0.00,0.0,124.2,999,91.7,1.0,1,0,11,0,1,0,3.92,0,0,0,0,0,1,0,0,0,0,1,1
Basic,202,C11,366.8,0.5,1,0.0,1.0,43,1,0,748.57,366.80,0.49,1.00,0.00,0.0,124.2,999,91.7,1.0,1,0,11,0,1,0,3.92,0,0,0,0,0,1,0,0,0,0,1,1
Basic,295,C16,137.6,2.0,4,0.0,1.0,45,1,0,68.78,34.39,0.50,1.00,0.00,1.0,207.5,1262,34.4,2.0,0,1,16,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1
Basic,296,C16,91.7,2.0,3,0.0,1.0,48,1,0,45.85,30.57,0.67,1.00,0.00,1.0,207.5,1262,22.9,2.0,0,1,16,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1
Basic,298,C16,183.4,4.0,2,0.0,1.0,60,1,0,45.85,91.70,2.00,0.00,1.00,1.0,207.5,1262,45.9,2.0,0,1,16,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,1
Basic,299,C16,137.6,3.0,1,0.0,1.0,30,0,1,45.85,137.55,3.00,0.00,1.00,1.0,207.5,1262,34.4,2.0,0,1,16,0,1,1,1.5,0,0,1,0,0,0,0,0,0,0,1,1
Basic,302,C16,183.4,8.0,1,1.0,0.0,54,0,1,22.93,183.40,8.00,0.00,1.00,1.0,207.5,1262,45.9,2.0,0,1,16,0,1,1,0.5,0,0,1,0,0,0,0,0,0,0,1,1
Basic,312,C17,45.9,1.0,3,0.0,1.0,26,1,0,45.85,15.28,0.33,1.00,0.00,1.0,207.5,1250,11.5,2.0,0,1,17,0,1,1,1.5,0,0,1,0,1,1,1,1,1,1,7,1
Basic,328,C17,45.9,0.8,3,1.0,0.0,45,1,0,61.13,15.28,0.25,1.00,0.00,1.0,207.5,1250,11.5,2.0,0,1,17,0,1,1,1.5,0,0,1,0,1,1,1,1,1,1,7,1
Basic,329,C17,45.9,0.8,3,1.0,0.0,35,1,0,61.13,15.28,0.25,1.00,0.00,1.0,207.5,1250,11.5,2.0,0,1,17,0,1,1,1.5,0,0,1,0,1,1,1,1,1,1,7,1
Basic,330,C17,36.7,0.5,2,0.0,1.0,71,0,1,73.36,18.34,0.25,1.00,0.00,1.0,207.5,1250,9.2,2.0,0,1,17,0,1,1,2,0,0,1,0,1,1,1,1,1,1,7,1
Basic,331,C17,36.7,1.0,4,0.0,1.0,25,1,0,36.68,9.17,0.25,1.00,0.00,1.0,207.5,1250,9.2,2.0,0,1,17,0,1,1,2,0,0,1,0,1,1,1,1,1,1,7,1
Basic,344,C18,13.8,1.0,1,0.0,1.0,35,1,0,13.76,13.76,1.00,0.00,1.00,1.0,202.9,1225,3.4,2.0,0,1,18,0,1,0,2.75,0,0,1,0,0,0,0,0,0,0,1,1
Basic,345,C18,18.3,2.0,2,1.0,0.0,48,1,0,9.17,9.17,1.00,0.00,1.00,1.0,202.9,1225,4.6,2.0,0,1,18,0,1,1,1.25,0,0,1,0,0,0,0,0,0,0,1,1
Basic,346,C18,27.5,2.4,2,1.0,0.0,47,1,0,11.46,13.76,1.20,0.00,1.00,1.0,202.9,1225,6.9,2.0,0,1,18,0,1,0,2.5,0,0,1,0,0,0,0,0,0,0,1,1
Basic,347,C18,27.5,2.0,2,0.0,1.0,46,0,1,13.76,13.76,1.00,0.00,1.00,1.0,202.9,1225,6.9,2.0,0,1,18,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,1
Basic,353,C18,18.3,2.0,2,0.0,1.0,45,1,0,9.17,9.17,1.00,0.00,1.00,1.0,202.9,1225,4.6,2.0,0,1,18,0,1,0,4.75,0,0,1,0,0,0,0,0,0,0,1,1
Basic,358,C19,45.9,2.0,20,0.0,1.0,55,1,0,22.93,2.29,0.10,1.00,0.00,1.0,126.9,1381,11.5,2.0,0,1,19,1,0,0,120,0,0,0,0,0,0,1,1,0,0,2,1
Basic,361,C19,73.4,0.3,1,0.0,1.0,56,1,0,293.44,73.36,0.25,1.00,0.00,1.0,126.9,1381,18.3,2.0,0,1,19,1,0,0,25,0,0,0,0,0,0,1,1,0,0,2,1
Basic,362,C19,73.4,0.3,1,1.0,0.0,28,1,0,293.44,73.36,0.25,1.00,0.00,1.0,126.9,1381,18.3,2.0,0,1,19,1,0,0,4,0,0,0,0,0,0,1,1,0,0,2,1
Basic,364,C19,82.5,0.3,1,0.0,1.0,38,1,0,330.12,82.53,0.25,1.00,0.00,1.0,126.9,1381,20.6,2.0,0,1,19,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1
Basic,368,C19,77.9,0.3,1,0.0,1.0,40,0,1,311.78,77.95,0.25,1.00,0.00,1.0,126.9,1381,19.5,2.0,0,1,19,1,0,0,5,0,0,0,0,0,0,1,1,0,0,2,1
Basic,392,C22,45.9,0.3,1,0.0,1.0,38,0,1,183.40,45.85,0.25,1.00,0.00,1.0,195.6,1358,11.5,2.0,0,1,22,1,0,0,60,0,0,0,0,0,0,1,1,0,0,3,1
