Model,CWR,CWRabrev,CWR_Full,Cost(original),Cost,Ha(original),Ha
BASIC,,V.dekindtiana,VignaUnguiculataDekindtiana,45.9,,3.9,
BASIC,,V.dekindtiana,VignaUnguiculataDekindtiana,45.9,,1.5,
BASIC,,V.dekindtiana,VignaUnguiculataDekindtiana,55,,4.9,
BASIC,,V.dekindtiana,VignaUnguiculataDekindtiana,55,,2,
BASIC,,V.dekindtiana,VignaUnguiculataDekindtiana,64.2,,2,
BASIC,,V.dekindtiana,VignaUnguiculataDekindtiana,73.4,,2,
BASIC,,V.dekindtiana,VignaUnguiculataDekindtiana,91.7,,2.5,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,45.9,,0.3,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,45.9,,0.3,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,45.9,,0.1,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,45.9,,0.1,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,45.9,,3.9,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,45.9,,1.5,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,55,,0.3,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,55,,4.9,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,55,,2,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,64.2,,0.1,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,64.2,,2,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,82.5,,0.4,
AREA,,V.dekindtiana,VignaUnguiculataDekindtiana,137.6,,0.5,
BASIC,,V.juncea,VignaJuncea,18.3,,0.7,
AREA,,V.juncea,VignaJuncea,45.9,,0.3,
AREA,,V.juncea,VignaJuncea,45.9,,0.3,
AREA,,V.juncea,VignaJuncea,18.3,,0.7,
AREA,,V.juncea,VignaJuncea,91.7,,0.5,
AREA,,V.juncea,VignaJuncea,91.7,,0.5,
AREA,,V.juncea,VignaJuncea,91.7,,0.5,
AREA,,V.juncea,VignaJuncea,91.7,,1,
AREA,,V.juncea,VignaJuncea,137.6,,0.5,
BASIC,,EleusineCoracana,EleusineCoracana,13.8,,1,
BASIC,,EleusineCoracana,EleusineCoracana,18.3,,0.7,
BASIC,,EleusineCoracana,EleusineCoracana,18.3,,2,
BASIC,,EleusineCoracana,EleusineCoracana,18.3,,2,
BASIC,,EleusineCoracana,EleusineCoracana,27.5,,2.4,
BASIC,,EleusineCoracana,EleusineCoracana,27.5,,2,
BASIC,,EleusineCoracana,EleusineCoracana,27.5,,2,
BASIC,,EleusineCoracana,EleusineCoracana,27.5,,2,
BASIC,,EleusineCoracana,EleusineCoracana,36.7,,2,
BASIC,,EleusineCoracana,EleusineCoracana,45.9,,2,
BASIC,,EleusineCoracana,EleusineCoracana,47.7,,2,
BASIC,,EleusineCoracana,EleusineCoracana,183.4,,8,
AREA,,EleusineCoracana,EleusineCoracana,13.8,,1,
AREA,,EleusineCoracana,EleusineCoracana,18.3,,0.7,
AREA,,EleusineCoracana,EleusineCoracana,18.3,,2,
AREA,,EleusineCoracana,EleusineCoracana,18.3,,2,
AREA,,EleusineCoracana,EleusineCoracana,27.5,,2.4,
AREA,,EleusineCoracana,EleusineCoracana,27.5,,2,
AREA,,EleusineCoracana,EleusineCoracana,36.7,,0.5,
AREA,,EleusineCoracana,EleusineCoracana,36.7,,1,
AREA,,EleusineCoracana,EleusineCoracana,45.9,,0.3,
