Model,CWR,Count
Basic,VignaU,13
Basic,VignaJ,8
Basic,EleusineC,23
Basic,PennisetumP,5
Basic,SorghumB,10
Basic,SolanumI,20
Basic,EleusineI,25
Basic,PennisetumP2,15
Basic,EchinochloaC,5
Basic,OryzaL,5
Diversity,VignaU,13
Diversity,VignaJ,8
Diversity,EleusineC,28
Diversity,PennisetumP,5
Diversity,SorghumB,15
Diversity,SolanumI,25
Diversity,EleusineI,30
Diversity,PennisetumP2,20
Diversity,EchinochloaC,10
Diversity,OryzaL,10
Equitability,VignaU,13
Equitability,VignaJ,8
Equitability,EleusineC,26
Equitability,PennisetumP,5
Equitability,SorghumB,13
Equitability,SolanumI,23
Equitability,EleusineI,28
Equitability,PennisetumP2,18
Equitability,EchinochloaC,8
Equitability,OryzaL,8
Area,VignaU,13
Area,VignaJ,8
Area,EleusineC,23
Area,PennisetumP,5
Area,SorghumB,10
Area,SolanumI,20
Area,EleusineI,25
Area,PennisetumP2,15
Area,EchinochloaC,5
Area,OryzaL,5
