Model,Objective,CWR,Count
Diversity,L,VignaU,37
Diversity,L,VignaJ,17
Diversity,L,EleusineC,17
Diversity,L,PennisetumP,2
Diversity,L,SorghumB,14
Diversity,L,SolanumI,14
Diversity,L,EleusineI,28
Diversity,L,PennisetumP2,14
Diversity,L,EchinochloaC,0
Diversity,L,OryzaL,0
Diversity,M,VignaU,43
Diversity,M,VignaJ,20
Diversity,M,EleusineC,38
Diversity,M,PennisetumP,4
Diversity,M,SorghumB,29
Diversity,M,SolanumI,29
Diversity,M,EleusineI,51
Diversity,M,PennisetumP2,31
Diversity,M,EchinochloaC,9
Diversity,M,OryzaL,9
Diversity,H,VignaU,43
Diversity,H,VignaJ,20
Diversity,H,EleusineC,60
Diversity,H,PennisetumP,5
Diversity,H,SorghumB,43
Diversity,H,SolanumI,43
Diversity,H,EleusineI,70
Diversity,H,PennisetumP2,50
Diversity,H,EchinochloaC,23
Diversity,H,OryzaL,23
Equitability,L,VignaU,2
Equitability,L,VignaJ,4
Equitability,L,EleusineC,32
Equitability,L,PennisetumP,0
Equitability,L,SorghumB,19
Equitability,L,SolanumI,19
Equitability,L,EleusineI,20
Equitability,L,PennisetumP2,20
Equitability,L,EchinochloaC,19
Equitability,L,OryzaL,19
Equitability,M,VignaU,12
Equitability,M,VignaJ,6
Equitability,M,EleusineC,52
Equitability,M,PennisetumP,0
Equitability,M,SorghumB,28
Equitability,M,SolanumI,29
Equitability,M,EleusineI,29
Equitability,M,PennisetumP2,28
Equitability,M,EchinochloaC,27
Equitability,M,OryzaL,27
Equitability,H,VignaU,17
Equitability,H,VignaJ,7
Equitability,H,EleusineC,60
Equitability,H,PennisetumP,0
Equitability,H,SorghumB,32
Equitability,H,SolanumI,36
Equitability,H,EleusineI,34
Equitability,H,PennisetumP2,30
Equitability,H,EchinochloaC,29
Equitability,H,OryzaL,29
Area,L,VignaU,31
Area,L,VignaJ,12
Area,L,EleusineC,52
Area,L,PennisetumP,0
Area,L,SorghumB,32
Area,L,SolanumI,37
Area,L,EleusineI,39
Area,L,PennisetumP2,21
Area,L,EchinochloaC,19
Area,L,OryzaL,19
Area,M,VignaU,38
Area,M,VignaJ,13
Area,M,EleusineC,66
Area,M,PennisetumP,0
Area,M,SorghumB,38
Area,M,SolanumI,48
Area,M,EleusineI,59
Area,M,PennisetumP2,33
Area,M,EchinochloaC,21
Area,M,OryzaL,21
Area,H,VignaU,41
Area,H,VignaJ,14
Area,H,EleusineC,77
Area,H,PennisetumP,0
Area,H,SorghumB,45
Area,H,SolanumI,56
Area,H,EleusineI,70
Area,H,PennisetumP2,42
Area,H,EchinochloaC,27
Area,H,OryzaL,27
