CommunityID,Model,Objective,ID,Bidoffer,Area,Plots,YoungFarmer,OldFarmer,Age,Male,Female,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Distancefromhotspot,Elevation,TransactionCost,Ecoregion1,Ecoregion2,Community,nonGMA,GMA,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar,SolanumIncanum,EleusineIndica,PennisetumPurpureum.1,EchinochloaColona,OryzaLongistaminata,Richness,DecisionCells
1,3,2,9.5,128.3888889,0.85,1.666666667,0.277777778,0.722222222,40.88888889,0.555555556,0.444444444,175.1688889,87.37055556,0.409444444,1,0,2,93.4,1237,32.10555556,1,0,1,1,0,5.473888889,0,0.944444444,0.944444444,0,0,0,0,0,0,0,1.888888889,1
2,3,2,27,18.3,0.5,2,0.117647059,0.882352941,45.35294118,0.823529412,0.176470588,36.68,9.17,0.25,1,0,2,67.6,994,4.6,1,0,2,1,0,2.617647059,0,0,0,0,0,0,0,0,0,0,0,1
3,3,2,42,76.46666667,0.366666667,1,0,1,48.66666667,1,0,213.9666667,76.41666667,0.333333333,1,0,2,58.9,970,19.13333333,1,0,3,1,0,2.083333333,1,1,1,0,0,0,0,0,0,0,3,1
4,3,2,60.5,102.71,0.345,1.75,0.2,0.8,39.4,0.6,0.4,334.3995,63.962,0.2025,1,0,2,59,990,25.675,1,0,4,1,0,1.775,1,0,0,0,0,0,0,0,0,0,1,1
6,3,2,100.5,93.32,1.64,2.55,0.4,0.6,38.6,0.45,0.55,94.874,46.119,0.7175,0.7,0.3,1,44.5,847,23.335,1,0,6,1,0,6.615,1,0,0,0,1,1,1,0,0,0,4,1
8,3,2,129,22.91666667,0.583333333,1.5,0,1,45.66666667,0.666666667,0.333333333,41.265,16.43166667,0.416666667,1,0,1,159,1082,5.733333333,1,0,8,0,1,2.25,0,0,0,0,0,0,0,0,0,0,0,1
9,3,2,165.5,158.4966667,0.516666667,0,0.466666667,0.533333333,40.43333333,0.433333333,0.566666667,310.9693333,0,0,0,0,2,92.8,1104,39.62,1,0,9,0,1,2.270333333,0,0,0,0,0,0,0,0,0,0,0,1
10,3,2,185,327.5,0.642857143,1.285714286,0.285714286,0.714285714,40.14285714,0.857142857,0.142857143,603.4014286,301.3,0.427142857,1,0,2,89.3,1102,81.87142857,1,0,10,0,1,7.411428571,0,0,0,0,0,0,0,0,0,0,0,1
12,3,2,212.5,137.55,0.75,1.5,1,0,27,1,0,233.93,114.625,0.49,1,0,1,105.6,987,34.4,1,0,12,0,1,2.94,0,0,0,0,0,0,0,0,0,0,0,1
15,3,2,285.1111111,88.15555556,1.144444444,1.777777778,0.444444444,0.555555556,41.11111111,0.888888889,0.111111111,87.45555556,45.17222222,0.5,0.555555556,0.333333333,1,163.6,1382,22.04444444,0,1,15,0,1,1.222222222,0,0,0,0,0,0,0,0,0,0,0,1
17,3,2,326,45.06666667,0.911111111,2.777777778,0.333333333,0.666666667,39.33333333,0.777777778,0.222222222,69.89444444,22.11555556,0.358888889,0.888888889,0.111111111,1,207.5,1250,11.28888889,0,1,17,0,1,1.833333333,0,0,1,0,1,1,1,1,1,1,7,1
18,3,2,348.2222222,27,1.933333333,2.111111111,0.222222222,0.777777778,47.88888889,0.888888889,0.111111111,14.01222222,13.50333333,0.966666667,0.111111111,0.888888889,1,202.9,1225,6.766666667,0,1,18,0,1,3.666666667,0,0,1,0,0,0,0,0,0,0,1,1
19,3,2,361.8666667,102.4066667,0.7,2.4,0.333333333,0.666666667,45.73333333,0.666666667,0.333333333,272.9606667,87.268,0.34,0.8,0.2,1,126.9,1381,25.59333333,0,1,19,1,0,33.33333333,0,0,0,0,0,0,1,1,0,0,2,1
21,3,2,383.5,113.5125,0.4625,1,0.125,0.875,46,0.75,0.25,270.515,113.47875,0.28125,1,0,1,102,1429,28.3625,0,1,21,1,0,8.375,0,0,0,0,0,0,0,0,0,0,0,1
22,3,2,395.2857143,51.11428571,0.328571429,1.142857143,0.142857143,0.857142857,42,0.571428571,0.428571429,183.4,45.85,0.25,1,0,1,195.6,1358,12.78571429,0,1,22,1,0,63.57142857,0,0,0,0,0,0,1,1,0,0,3,1
24,3,2,415,59.625,0.4,2.25,0.25,0.75,44,0.5,0.5,169.645,26.7475,0.17,1,0,0,131.5,1305,14.875,0,1,24,1,0,1.1875,0,0,0,1,0,0,0,0,0,0,0,1
25,3,2,427,71.22666667,0.426666667,2,0.066666667,0.933333333,42.2,0.666666667,0.333333333,198.6833333,37.65,0.204666667,1,0,1,170.5,1350,17.78666667,0,1,25,1,0,5.6,0,0,0,0,0,0,0,0,0,0,0,1
