Latitude,Longitude,Community ,CommunityID,ID,Bidoffer,Area,Plots,YoungFarmer,OldFarmer,Age,Male,Female,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Distancefromhotspot,Elevation,TransactionCost,Ecoregion,Ecoregion1,Ecoregion2,Community,nonGMA,GMA,SmallFarms,MeanFarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar,SolanumIncanum,EleusineIndica,PennisetumPurpureum2,EchinochloaColona,OryzaLongistaminata,Richness,DecisionCells
-13.741293,32.73903,Khuzana ,C1,41,366.8,2.5,5,3,1,133,1,3,146.7,73.36,1.96,4,0,8,373.6,4948,91.6,4,4,0,4,4,0,2,2.205,0,4,4,0,0,0,0,0,0,0,8,4
-12.246444,32.876833,Chitala ,C11,977,1650.7,3,5,1,4,215,5,0,550.2,330.14,2.94,4,1,0,621,4995,412.7,5,5,0,55,0,5,0,4.214,0,0,0,0,0,5,0,0,0,0,5,5
-10.993833,32.136778,Mulanga,C16,1489,779.6,15,11,1,4,241,4,1,52.0,70.87272727,6.17,2,3,5,1037.5,6310,194.9,10,0,5,80,0,5,4,1.6,0,0,5,0,0,0,0,0,0,0,5,5
-11.03975,32.217278,Kalikiti,C17,3258,460.6,8.5,26,3,7,382,8,2,54.2,17.71538462,3.48,9,1,10,2075,12500,115.4,20,0,10,170,0,10,9,1.875,0,0,10,0,10,10,10,10,10,10,70,10
-10.932667,32.248944,Chabola,C18,1738,105.4,9,9,1,4,245,4,1,11.7,11.71111111,5,0,5,5,1014.5,6125,26.4,10,0,5,90,0,5,1,3.1,0,0,5,0,0,0,0,0,0,0,5,5
-11.816444,31.263333,Luchembe ,C19,1803,362.3,3.9,24,2,3,209,4,1,92.9,15.09583333,1.85,4,1,5,634.5,6905,90.5,10,0,5,95,5,0,0,34,0,0,0,0,0,0,5,5,0,0,10,5
-11.164694,31.275194,Kabulamwiko,C22,1983,211,1.5,5,1,4,184,3,2,140.7,42.2,1.25,5,0,5,978,6790,52.9,10,0,5,110,5,0,0,73.8,0,0,0,0,0,0,5,5,0,0,15,5
-11.716278,31.815667,Chobela,C23,2031,172.5,2.6,11,3,2,245,4,1,66.3,15.68181818,1.17,5,0,0,628.5,5870,43.2,10,0,5,115,5,0,1,8.4,0,0,0,0,0,5,5,0,0,0,10,5
-11.667917,31.869111,Chilyaba ,C24,2076,307.3,1.9,12,2,3,213,2,3,161.7,25.60833333,0.76,5,0,0,657.5,6525,76.7,10,0,5,120,5,0,5,1.15,0,0,0,5,0,0,0,0,0,0,0,5
-13.58569,32.47157,Chawa,C3,126,229.4,1.1,3,0,3,146,3,0,208.5,76.46666667,1,3,0,6,176.7,2910,57.4,3,3,0,9,3,0,1,2.083333333,3,3,3,0,0,0,0,0,0,0,9,3
-13.57098,32.47932,Chiparamba,C4,338,293.5,1,7,2,3,187,1,4,293.5,41.92857143,0.77,5,0,10,295,4950,73.4,5,5,0,20,5,0,3,2,5,0,0,0,0,0,0,0,0,0,5,5
-13.4412,32.40183,Sisinje,C6,505,266,14.3,11,3,2,168,3,2,18.6,24.18181818,6.86,1,4,5,222.5,4235,66.6,5,5,0,30,5,0,0,6.86,5,0,0,0,5,5,5,0,0,0,20,5
-11.922167,33.013583,Chasefu,C8,854,169.6,6.5,6,3,3,249,3,3,26.1,28.26666667,6.5,0,6,6,954,6492,42.5,6,6,0,48,0,6,3,2.25,0,0,0,0,0,0,0,0,0,0,0,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum,13,7,27,5,15,25,30,20,10,10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mean,2,2,5,1,2,4,5,3,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average cost per ha,188.4,168.2,480.5,61.5,53.2,463.9,248.4,160.7,46.1,46.1,,
