Objective,ID,CommunityID,Bidoffer ,Area,Plots,YoungFarmer,OldFarmer,Age,Male ,Female ,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Elevation,TransactionCost,Ecoregion,Ecoregion1,Ecoregion2,Community ,nonGMA,GMA ,SmallFarms,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar ,SolanumIncanum,EleusineIndica ,Cucumis Zeyheri,OryzaLongistaminata,Richness,DecisionCells
BASIC,344,C18,13.8,1,1,0,1,35,1,0,13.76,13.76,1,0,1,1,1225,3.4,2,0,1,18,0,1,0,2.75,0,0,1,0,0,0,0,0,0,1,1
BASIC,18,C1,18.3,0.5,2,0,1,50,1,0,36.68,9.17,0.25,1,0,2,1237,4.6,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,19,C2,18.3,0.5,2,0,1,42,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
BASIC,20,C2,18.3,0.5,2,0,1,67,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,13.75,0,0,0,0,0,0,0,0,0,0,1
BASIC,21,C2,18.3,0.5,2,0,1,59,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,22,C2,18.3,0.5,2,0,1,39,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,23,C2,18.3,0.5,2,0,1,46,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,2.75,0,0,0,0,0,0,0,0,0,0,1
BASIC,24,C2,18.3,0.5,2,0,1,39,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0,1
BASIC,25,C2,18.3,0.5,2,0,1,44,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0,1
BASIC,26,C2,18.3,0.5,2,0,1,42,0,1,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0,1
BASIC,27,C2,18.3,0.5,2,0,1,52,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,2.25,0,0,0,0,0,0,0,0,0,0,1
BASIC,28,C2,18.3,0.5,2,1,0,26,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
BASIC,29,C2,18.3,0.5,2,1,0,24,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,0.75,0,0,0,0,0,0,0,0,0,0,1
BASIC,30,C2,18.3,0.5,2,0,1,38,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,31,C2,18.3,0.5,2,0,1,54,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
BASIC,32,C2,18.3,0.5,2,0,1,41,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,33,C2,18.3,0.5,2,0,1,44,0,1,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,1
BASIC,34,C2,18.3,0.5,2,0,1,54,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
BASIC,35,C2,18.3,0.5,2,0,1,60,0,1,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BASIC,405,C23,7.3,0.5,3,0,1,40,1,0,14.67,2.45,0.17,1,0,0,1174,1.8,2,0,1,23,1,0,0,8,0,0,0,0,0,1,1,0,0,2,1
BASIC,100,C6,45.9,3.9,2,0,1,39,0,1,11.7,22.93,1.96,0,1,1,847,11.5,1,1,0,6,1,0,0,7.84,1,0,0,0,1,1,1,0,0,4,1
AREA,344,C18,13.8,1,1,0,1,35,1,0,13.76,13.76,1,0,1,1,1225,3.4,2,0,1,18,0,1,0,2.75,0,0,1,0,0,0,0,0,0,1,1
AREA,3,C1,18.3,0.7,1,0,1,64,0,1,24.78,18.34,0,1,0,2,1237,4.6,1,1,0,1,1,0,1,1.47,0,1,1,0,0,0,0,0,0,2,1
AREA,66,C4,45.9,0.1,1,1,0,24,0,1,366.8,45.85,0.13,1,0,2,990,11.5,1,1,0,4,1,0,0,2.25,1,0,0,0,0,0,0,0,0,1,1
AREA,68,C4,45.9,0.1,1,0,1,39,0,1,366.8,45.85,0.13,1,0,2,990,11.5,1,1,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,1,1
AREA,405,C23,7.3,0.5,3,0,1,40,1,0,14.67,2.45,0.17,1,0,0,1174,1.8,2,0,1,23,1,0,0,8,0,0,0,0,0,1,1,0,0,2,1
BASIC,113,C7,45.9,1,2,1,0,20,1,0,46.79,22.93,0.49,1,0,0,1103,11.5,1,1,0,7,1,0,1,1.96,0,0,0,0,0,0,0,0,0,0,1
BASIC,125,C8,22.9,0.5,2,0,1,40,1,0,45.85,11.46,0.25,1,0,1,1082,5.7,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
