MODEL,Community,Cost ,AreaHa,Ecoregion,GMA
Diversity ,C1,18.3,0.7,1,0
Diversity ,C1,110,1.2,1,0
Diversity ,C1,201.7,1.7,1,0
Diversity ,C1,293.4,2.7,1,0
Diversity ,C1,431,4.2,1,0
Diversity ,C3,45.9,0.3,1,0
Diversity ,C3,91.8,0.6,1,0
Diversity ,C3,229.4,1.1,1,0
Diversity ,C4,45.9,0.1,1,0
Diversity ,C4,91.8,0.2,1,0
Diversity ,C4,146.8,0.5,1,0
Diversity ,C4,211,0.6,1,0
Diversity ,C4,293.5,1,1,0
Diversity ,C6,45.9,3.9,1,0
Diversity ,C6,91.8,5.4,1,0
Diversity ,C6,146.8,10.3,1,0
Diversity ,C6,201.8,12.3,1,0
Diversity ,C6,256.8,13.3,1,0
Diversity ,C6,321,15.3,1,0
Diversity ,C6,394.4,17.3,1,0
Diversity ,C6,467.8,18.8,1,0
Diversity ,C6,550.3,20.3,1,0
Diversity ,C6,642,22.8,1,0
Diversity ,C8,27.5,1,1,1
Diversity ,C8,55,2,1,1
Diversity ,C8,82.5,3,1,1
Diversity ,C8,110,4,1,1
Diversity ,C8,137.5,5,1,1
Diversity ,C8,169.6,6.5,1,1
Diversity ,C8,224.6,8.5,1,1
Diversity ,C8,302.5,10.5,1,1
Diversity ,C8,440.1,13,1,1
Diversity ,C8,596,16,1,1
Diversity ,C8,751.9,19,1,1
Diversity ,C11,91.7,1,1,1
Diversity ,C11,458.5,1.5,1,1
Diversity ,C11,825.3,2,1,1
Diversity ,C11,1238,2.5,1,1
Diversity ,C11,1650.7,3,1,1
Diversity ,C16,91.7,2,2,1
Diversity ,C16,229.3,5,2,1
Diversity ,C16,412.7,9,2,1
Diversity ,C16,596.1,17,2,1
Diversity ,C16,825.4,21,2,1
Diversity ,C17,36.7,0.5,2,1
Diversity ,C17,73.4,1.5,2,1
Diversity ,C17,119.3,2.5,2,1
Diversity ,C17,165.2,3.3,2,1
Diversity ,C17,211.1,4.1,2,1
Diversity ,C17,257,4.9,2,1
Diversity ,C17,302.9,5.9,2,1
Diversity ,C17,350.6,7.9,2,1
Diversity ,C17,438.6,9.9,2,1
Diversity ,C17,553.2,12.9,2,1
Diversity ,C18,13.8,1,2,1
Diversity ,C18,32.1,3,2,1
Diversity ,C18,50.4,5,2,1
Diversity ,C18,77.9,7,2,1
Diversity ,C18,105.4,9,2,1
Diversity ,C18,132.9,11.4,2,1
Diversity ,C18,169.6,13.4,2,1
Diversity ,C18,215.5,15.4,2,1
Diversity ,C19,45.9,2,2,0
Diversity ,C19,119.3,2.3,2,0
Diversity ,C19,192.7,2.6,2,0
Diversity ,C19,270.6,2.9,2,0
Diversity ,C19,362.3,3.9,2,0
Diversity ,C22,36.7,0.3,2,0
Diversity ,C22,73.4,0.6,2,0
Diversity ,C22,110.1,0.9,2,0
Diversity ,C22,156,1.2,2,0
Diversity ,C22,211,1.5,2,0
Diversity ,C23,7.3,0.5,2,0
Diversity ,C23,44,1,2,0
Diversity ,C23,80.7,1.3,2,0
Diversity ,C23,126.6,2.1,2,0
Diversity ,C23,172.5,2.9,2,0
Diversity ,C24,36.7,0.3,2,0
Diversity ,C24,100.9,0.8,2,0
Diversity ,C24,165.1,1.1,2,0
Diversity ,C24,233.9,1.4,2,0
Diversity ,C24,307.3,1.9,2,0
