MODEL,Community,Cost ,AreaHa
Untargeted,C23,7.3,0.5
Untargeted,C14,18.3,1.5
Untargeted,C18,32.1,2.5
Untargeted,C8,45.9,3
Untargeted,C20,59.7,3.5
Untargeted,C1,78,4
Untargeted,C2,96.3,4.5
Untargeted,C2,114.6,5
Untargeted,C2,132.9,5.5
Untargeted,C2,151.2,6
Untargeted,C2,169.5,6.5
Untargeted,C2,187.8,7
Untargeted,C2,206.1,7.5
Untargeted,C2,224.4,8
Untargeted,C2,242.7,8.5
Untargeted,C2,261,9
Untargeted,C2,279.3,9.5
Untargeted,C2,297.6,10
Untargeted,C2,315.9,10.5
Untargeted,C2,334.2,11
Untargeted,C2,352.5,11.5
Untargeted,C2,370.8,12
Untargeted,C2,389.1,12.5
Untargeted,C8,407.4,13
Untargeted,C14,425.7,17
Untargeted,C1,444,17.7
Untargeted,C18,462.3,19.7
Untargeted,C18,480.6,21.7
Untargeted,C8,503.5,22.2
Untargeted,C14,526.4,25.2
Untargeted,C8,553.9,25.7
Untargeted,C8,581.4,26.7
Untargeted,C8,608.9,27.7
Untargeted,C8,636.4,28.7
Untargeted,C8,663.9,29.7
Untargeted,C8,691.4,30.7
Untargeted,C8,718.9,31.7
Untargeted,C8,746.4,32.7
Untargeted,C14,773.9,36.7
Untargeted,C15,801.4,37.7
Untargeted,C18,828.9,40.1
Untargeted,C18,856.4,42.1
Untargeted,C18,883.9,44.1
Untargeted,C18,911.4,46.1
Untargeted,C8,943.5,47.1
Untargeted,C8,975.6,48.6
Untargeted,C8,1008.6,49.6
Untargeted,C18,1045.3,51.6
Untargeted,C6,1091.2,55.5
Untargeted,C7,1137.1,56.5
Untargeted,C14,1183,58.5
Untargeted,C14,1228.9,60.5
Untargeted,C14,1274.8,62.5
Untargeted,C18,1320.7,64.5
Untargeted,C6,1366.6,66
Untargeted,C19,1412.5,68
Untargeted,C23,1458.4,68.8
Untargeted,C17,1506.1,70.8
Untargeted,C8,1561.1,72.3
Untargeted,C8,1616.1,73.8
Untargeted,C8,1671.1,75.3
Untargeted,C8,1726.1,77.3
Untargeted,C6,1781.1,82.2
Untargeted,C6,1836.1,84.2
Untargeted,C6,1900.3,86.2
Untargeted,C6,1973.7,88.2
Untargeted,C8,2051.6,90.2
Untargeted,C6,2143.3,92.7
Untargeted,C16,2326.7,100.7
Targeted,C23,7.3,0.5
Targeted,C18,21.1,1.5
Targeted,C8,34.9,2
Targeted,C1,53.2,2.7
Targeted,C18,71.5,4.7
Targeted,C18,89.8,6.7
Targeted,C1,108.1,7.2
Targeted,C2,126.4,7.7
Targeted,C2,144.7,8.2
Targeted,C2,163,8.7
Targeted,C2,181.3,9.2
Targeted,C2,199.6,9.7
Targeted,C2,217.9,10.2
Targeted,C2,236.2,10.7
Targeted,C2,254.5,11.2
Targeted,C2,272.8,11.7
Targeted,C2,291.1,12.2
Targeted,C2,309.4,12.7
Targeted,C2,327.7,13.2
Targeted,C2,346,13.7
Targeted,C2,364.3,14.2
Targeted,C2,382.6,14.7
Targeted,C2,400.9,15.2
Targeted,C2,419.2,15.7
Targeted,C8,437.5,16.2
Targeted,C14,455.8,20.2
Targeted,C18,483.3,22.6
Targeted,C18,510.8,24.6
Targeted,C8,538.3,25.1
Targeted,C8,565.8,25.6
Targeted,C8,593.3,26.6
Targeted,C8,620.8,27.6
Targeted,C8,648.3,28.6
Targeted,C8,675.8,29.6
Targeted,C8,703.3,30.6
Targeted,C8,730.8,31.6
Targeted,C8,758.3,32.6
Targeted,C14,785.8,36.6
Targeted,C8,817.9,37.6
Targeted,C8,850,39.1
Targeted,C8,883,40.1
Targeted,C17,919.7,40.6
Targeted,C17,956.4,41.6
Targeted,C23,993.1,42.1
Targeted,C23,1029.8,42.4
Targeted,C22,1066.5,42.7
Targeted,C22,1103.2,43
Targeted,C22,1139.9,43.3
Targeted,C24,1176.6,43.6
Targeted,C4,1222.5,43.7
Targeted,C4,1268.4,43.8
Targeted,C6,1314.3,47.7
Targeted,C3,1360.2,48
Targeted,C3,1406.1,48.3
Targeted,C6,1452,49.8
Targeted,C17,1497.9,50.8
Targeted,C17,1543.8,51.8
Targeted,C23,1589.7,52.6
Targeted,C23,1635.6,53.4
Targeted,C19,1681.5,55.4
Targeted,C22,1727.4,55.7
Targeted,C17,1775.1,57.7
Targeted,C8,1830.1,59.2
Targeted,C8,1885.1,60.7
Targeted,C8,1940.1,62.2
Targeted,C8,1995.1,64.2
Targeted,C22,2050.1,64.5
Targeted,C6,2105.1,69.4
Targeted,C6,2160.1,71.4
Targeted,C4,2215.1,71.7
Targeted,C6,2279.3,73.7
Targeted,C24,2343.5,74.2
Targeted,C24,2407.7,74.5
Targeted,C4,2471.9,74.6
Targeted,C24,2540.7,74.9
Targeted,C19,2614.1,75.2
Targeted,C19,2687.5,75.5
Targeted,C24,2760.9,76
Targeted,C19,2838.8,76.3
Targeted,C19,2921.3,76.6
Targeted,C4,3003.8,77
Targeted,C1,3095.5,77.5
Targeted,C1,3187.2,78
Targeted,C1,3278.9,78.5
Targeted,C1,3370.6,79.5
Targeted,C16,3462.3,81.5
Targeted,C11,3554,82.5
Targeted,C16,3691.6,84.5
Targeted,C16,3829.2,87.5
Targeted,C3,3966.8,88
Targeted,C16,4150.2,92
Targeted,C16,4333.6,100
Targeted,C11,4700.4,100.5
Targeted,C11,5067.2,101
Targeted,C11,5479.9,101.5
Targeted,C11,5892.6,102
Equity,C4,45.9,0.1
Equity,C4,91.7,0.3
Equity,C1,183.4,0.5
Equity,C3,229.3,0.8
Equity,C3,275.1,1
Equity,C4,357.6,1.3
Equity,C4,412.7,1.5
Equity,C19,513.5,1.8
Equity,C19,586.9,2
Equity,C19,664.8,2.3
Equity,C19,756.5,2.5
Equity,C22,802.4,2.8
Equity,C22,839.1,3
Equity,C22,875.7,3.3
Equity,C22,912.4,3.5
Equity,C22,967.4,3.8
Equity,C23,1004.1,4
Equity,C24,1040.8,4.3
Equity,C24,1109.6,4.5
Equity,C24,1173.8,4.8
Equity,C4,1283.8,5.1
Equity,C1,1375.5,5.6
Equity,C1,1467.2,6.1
Equity,C1,1558.9,6.6
Equity,C9,1604.8,7.1
Equity,C9,1668.9,7.6
Equity,C9,1696.5,8.1
Equity,C9,1769.8,8.6
Equity,C11,2182.5,9
Equity,C11,2549.3,9.5
Equity,C11,3007.8,10
Equity,C11,3374.6,10.5
Equity,C2,3392.9,11
Equity,C2,3411.2,11.5
Equity,C2,3429.6,12
Equity,C3,3567.1,12.5
Equity,C8,3590.1,13
Equity,C8,3617.6,13.5
Equity,C8,3635.9,14
Equity,C15,3681.8,14.5
Equity,C17,3718.4,15
Equity,C23,3755.1,15.5
Equity,C23,3762.5,16
Equity,C24,3845,16.5
Equity,C24,3909.2,17
Equity,C1,3927.5,17.8
Equity,C17,3973.4,18.5
Equity,C17,4019.2,19.3
Equity,C17,4065.1,20
Equity,C23,4110.9,20.8
Equity,C23,4156.8,21.5
Equity,C7,4202.6,22.5
Equity,C11,4294.3,23.5
Equity,C8,4321.8,24.5
Equity,C8,4349.3,25.5
Equity,C8,4381.4,26.5
Equity,C8,4408.9,27.5
Equity,C8,4464,28.5
Equity,C8,4491.5,29.5
Equity,C8,4519,30.5
Equity,C8,4546.5,31.5
Equity,C8,4579.5,32.5
Equity,C8,4607,33.5
Equity,C14,4618,34.5
Equity,C6,4663.9,35.9
Equity,C8,4718.9,37.4
Equity,C8,4751,38.9
Equity,C6,4815.2,40.9
Equity,C6,4870.2,42.9
Equity,C8,4948.1,44.9
Equity,C8,5003.2,46.9
Equity,C14,5049,48.9
Equity,C16,5186.6,50.9
Equity,C16,5278.3,52.9
Equity,C17,5325.9,54.9
Equity,C18,5344.3,56.9
Equity,C18,5371.8,58.9
Equity,C18,5399.3,60.9
Equity,C18,5426.8,62.9
Equity,C18,5445.1,64.9
Equity,C19,5491,66.9
Equity,C6,5582.7,69.3
Equity,C8,5738.6,72.3
Equity,C16,5876.1,75.3
Equity,C6,5922,79.2
Equity,C6,5977,84.1
Equity,C16,6160.4,92.1
Equity,C16,6389.7,100.1
Diversity,C23,7.3,0.5
Diversity,C18,21.1,1.5
Diversity,C1,39.4,2.2
Diversity,C18,57.8,4.2
Diversity,C18,76.1,6.2
Diversity,C18,103.6,8.2
Diversity,C18,131.1,10.2
Diversity,C17,167.8,10.7
Diversity,C18,204.5,12.7
Diversity,C22,241.2,13
Diversity,C22,277.9,13.2
Diversity,C22,314.5,13.5
Diversity,C23,351.2,14
Diversity,C23,387.9,14.2
Diversity,C24,424.6,14.5
Diversity,C3,470.4,14.7
Diversity,C3,516.3,15
Diversity,C6,562.1,18.9
Diversity,C6,608,19.4
Diversity,C6,653.8,20.9
Diversity,C6,699.7,21.4
Diversity,C17,745.5,22.1
Diversity,C17,791.4,22.9
Diversity,C17,837.2,23.9
Diversity,C18,883.1,25.9
Diversity,C22,928.9,26.1
Diversity,C23,974.8,26.6
Diversity,C4,1029.8,26.9
Diversity,C6,1084.8,31.8
Diversity,C6,1139.8,33.7
Diversity,C6,1194.9,34.7
Diversity,C17,1249.9,35
Diversity,C17,1304.9,35.2
Diversity,C23,1359.9,35.7
Diversity,C6,1424.1,37.7
Diversity,C24,1488.3,38.2
Diversity,C24,1552.5,38.4
Diversity,C24,1621.3,38.7
Diversity,C6,1694.6,40.6
Diversity,C6,1768,42.1
Diversity,C19,1841.3,42.3
Diversity,C19,1914.7,42.6
Diversity,C24,1988.1,43.1
Diversity,C4,2070.6,43.5
Diversity,C6,2153.1,44.9
Diversity,C17,2241.1,46.9
Diversity,C1,2332.8,47.4
Diversity,C1,2424.5,47.9
Diversity,C1,2516.2,48.9
Diversity,C6,2607.9,50.4
Diversity,C6,2699.6,52.8
Diversity,C11,2791.3,53.8
Diversity,C16,2883,55.8
Diversity,C19,2974.7,56.8
Diversity,C4,3084.8,57.3
Diversity,C6,3194.8,58.3
Diversity,C17,3304.9,58.8
Diversity,C17,3419.5,61.8
Diversity,C1,3557,63.2
Diversity,C1,3694.6,64.2
Diversity,C1,3832.1,65.2
Diversity,C3,3969.7,65.7
Diversity,C4,4107.2,66.2
Diversity,C4,4244.8,66.7
Diversity,C6,4382.3,68.7
Diversity,C6,4519.9,70.1
Diversity,C6,4657.4,71.1
Diversity,C16,4795,74.1
Diversity,C1,4960.1,75.6
Diversity,C6,5134.3,76.6
Diversity,C1,5317.7,77.5
Diversity,C1,5501.1,78.5
Diversity,C1,5684.5,79.5
Diversity,C1,5867.9,80.5
Diversity,C16,6051.3,84.5
Diversity,C19,6234.7,86.5
Diversity,C19,6418.1,88.5
Diversity,C22,6601.5,89.5
Diversity,C17,6821.6,90.5
Diversity,C16,7050.8,94.5
Diversity,C1,7325.9,96
Diversity,C16,7646.9,99
Diversity,C11,8013.7,99.4
Diversity,C11,8380.5,99.9
Diversity,C11,8793.1,100.4
Diversity,C11,9205.8,100.9
